id,action,templates
37,Trim,(?:\[cid:[\w-]+\]\s+)?Veterinär Kämpaslätten\s+Galjalyckevägen 5
38,Forward_Address,Vidarebefordrat meddelande [\-]+\s*(?:Från|From):\s*(.*?)\s*(?:Datum|Date):
39,Forward_Subject,(?i)^Märk(?!.*betalningen).*?med:?\s*(.*?)(?=\n|$)
40,Forward_Subject,"Det går bra att svara på detta mejl eller till djurskador@svedea\.se, (?i)märk mejlsvaret med\s+(.+?)\s*(?=\s+eller\b|[.,;:!?]|[\r\n]|$)"
41,Subject,(?:\b(?:SV:|RE:)\s*\b)*(.*)
42,ProvetCloud_Msg,\nMeddelande: (.*?)\nDu hittar patienthistoriken som en bifogad PDF fil
43,ProvetCloud_Clinic,\[BODY\](.*?)\s+Logo
44,ProvetCloud_Recipient,Vänligen vidarebefordra till ((?!försäkringsbolaget)[a-zåöä ]+?)\n*Mvh?
45,Wisentic_Msg,Ämne:.*?\n(.*?)\nDatum:.*?Från:.*?Till:.*?Ämne:
46,Wisentic_Error_Subject,Info från försäkringsbolaget: Direktreglering {REFERENCE} behöver kompletteras
47,Wisentic_Error_Template,"Hej,<br><br>Här kommer information om en direktreglering som inte kan hanteras av försäkringsbolaget. Dubbelkolla försäkringsuppgifterna med DÄ, och uppdatera i journalsystemet om aktuellt. Skicka de rätta uppgifterna till oss så uppdaterar vi ärendet och skickar om det till {WHO}.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Om ni inte får tag på nya försäkringsuppgifter har ni två alternativ:<br><li>vi sätter 0 kr ersättning (då betalar DÄ faktura + direktregleringsavgift i DRP)</li><li>vi avbryter direktregleringen (då driver ni själva in pengar från DÄ utanför DRP)</li><br><br>Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
48,Insurance_Validation_Error_Subject,Info från försäkringsbolaget: Direktreglering {REFERENCE} behöver kompletteras
49,Insurance_Validation_Error_Template,"Hej,<br><br>Här kommer information om en direktreglering som inte kan hanteras av försäkringsbolaget. Dubbelkolla försäkringsuppgifterna med DÄ, och uppdatera i journalsystemet om aktuellt. Skicka de rätta uppgifterna till oss så uppdaterar vi ärendet och skickar om det till {WHO}.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Om ni inte får tag på nya försäkringsuppgifter har ni två alternativ:<br><li>vi sätter 0 kr ersättning (då betalar DÄ faktura + direktregleringsavgift i DRP)</li><li>vi avbryter direktregleringen (då driver ni själva in pengar från DÄ utanför DRP)</li><br><br>Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
50,Complement_DR_Insurance_Company_Subject,Info från försäkringsbolaget: Direktreglering {REFERENCE} behöver kompletteras
51,Complement_DR_Insurance_Company_Template,"Hej,<br><br>Här kommer önskemål om komplettering av en direktreglering. Svara på detta mail eller skicka ett mail med kompletteringen till {REFERENCE} så vidarebefordrar vi det till {WHO}.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
52,Complement_DR_Clinic_Subject,Komplettering av direktreglering {REFERENCE}
53,Complement_DR_Clinic_Template,"Hej,<br><br>Här kommer svar på efterfrågad komplettering från {WHO}.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Hör gärna av er om det behövs ytterligare komplettering. Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
54,ProvetCloud_Template,"Hej,<br><br>Här kommer svar på efterfrågad komplettering från {WHO}.<br>Hör gärna av er om det behövs ytterligare komplettering. Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
55,Complement_Damage_Request_Insurance_Company_Subject,Info från försäkringsbolaget: Komplettering av en skadeanmälan
56,Complement_Damage_Request_Insurance_Company_Template,"Hej,<br><br>Här kommer önskemål om komplettering av en skadeanmälan. Skicka kompletteringen till försäkringsbolaget med angiven referens. Ni kan också maila den till oss - ange då nedan angiven referens i svaret så vidarebefordrar vi det. <br><br>""<b><i>{EMAIL}</i></b>""<br><br>Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
57,Complement_Damage_Request_Clinic_Subject,Komplettering av en skadeanmälan
58,Complement_Damage_Request_Clinic_Template,"Hej,<br><br>Här kommer svar på efterfrågad komplettering från kliniken. <br><br>""<b><i>{EMAIL}</i></b>""<br><br>Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
59,Settlement_Request_Subject,Info från försäkringsbolaget: Förhandsbesked
60,Settlement_Request_Template,"Hej,<br><br>Här kommer ett förhandsbesked från försäkringsbolaget.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
61,Settlement_Approved_Subject,Ersättningsbesked för DR utanför DRP?
62,Settlement_Approved_Template,"Hej,<br><br>Här kommer ett ersättningsbesked från {WHO} för en direktreglering som inte verkar vara skickad via DRP.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Återkoppla gärna ifall något ska meddelas försäkringsbolaget eller om vi missuppfattat.<br><br>Tack på förhand!<br><br><br>Mvh {ADMIN}<br>DRP"
63,Message_Subject,Information om ärende från {WHO}
64,Message_Template,"Hej,<br><br>Vänligen se meddelande från {WHO}.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Ni kan svara på detta mail om ni vill att vi vidarebefordrar något. Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
65,Question_Subject,Fråga om ärende från {WHO}
66,Question_Template,"Hej,<br><br>Här kommer en fråga om en direktreglering från {WHO}. Svara på detta mail {REFERENCE} så vidarebefordrar vi det till försäkringsbolaget.<br><br>""<b><i>{EMAIL}</i></b>""<br><br>Tack på förhand!{INFO}<br><br><br>Mvh {ADMIN}<br>DRP"
