id,number,regex
57,damageNumber,Faktura är avböjd i handläggarreglering \- ([\d-]+) 
58,animalName,"via Direktregleringsportalen.*?(?:Djur|DJUR|Djurets).*?Namn:\s*([^\W\d_\(\)\\\/\*\.\'""´, -]+)\n?.*?Djurart:"
59,animalName,"Djurets namn:?\s*([^\W\d_\(\)\\\/\*\.\'""´, -]+)(?= Referensnummer| Journalnummer|\n)"
60,animalName,"(?:Namn på djuret):?\s*([^\W\d_\(\)\\\.\/\*\'""´, -]+)"
61,animalName,"(?:Namn|Djur|Djurets namn):.*?([^\W\d_\(\)\\\.\/\*\'""´, -]+)"
62,animalName," \- [\d-]+ ((?!kr ersättning)[^\W\d_\(\)\\\/\*\.\'""´, -]+)(?=\n\[BODY\])"
63,animalName,"gällande ([^\W\d_\(\)\\\/\*\.\'""´, -]+) med.*?(?=\n\[BODY\])"
64,animalName,"gällande ([^\W\d_\(\)\\\/\*\.\'""´, -]+).*?som står försäkrad på"
65,animalName,"(?:Komplettering )((?!av |direktreglering |\d+ |önskas gällande )[^\W\d_\\\/\*\.\'""´, -]+).*?(?=\n\[BODY\])"
66,animalName,"(?:Direktreglering|Patienthistorik:) ([^\W\d_\(\)\\\/\*\.\'""´-]+).*?(?=\n\[BODY\])"
67,animalName,"önskas för ([^\W\d_\(\)\\\/\*\.\'""´, -]+)(?: med försäkringsnummer).*?(?=\n\[BODY\])"
68,animalName,"(?<=\[SUBJECT\])([^\W\d_\(\)\\\/\*\.\'""´,-]+) - [\d -]+(?=\n\[BODY\])"
69,animalName,ingen[\wåöä ]+försäkring för ([^\W\d_]+) 
70,animalName,"Vår direktreglering gällande ([^\W\d_\(\)\\\/\*\.\'""´, -]+) ser ut som följande:"
71,animalName,Vi har fått in en direktreglering för ([^\W\d_]+)
72,animalName,Djurnamn:\s*(.*?)\n
73,animalName_Sveland,"(?<=\[SUBJECT\])([^\W\d_\(\)\\\.\/\*\'""´,-]+)(?=\n\[BODY\])"
74,ownerName,Direktregleringsportalen.*?\*?Ägare\s*Namn:\s*(.*?)\s*Personnr
75,ownerName,"Försäkringstagare\s+([^\W\d_&, -]+)"
76,ownerName,"(?:Kund|Kundnamn):?\s+([^\W\d_, -]+)\n"
77,ownerName,"(?<=Ägare: )([^\W\d_, -]+)"
78,ownerName,"som står försäkrad på ((?:(?! ert journalnr|_)[^\W\d_, -]+))"
79,ownerName,"(?:Djurägarens namn:|Ägarens namn[:\.]?)\s+([^\W\d_, -]+)"
80,ownerName,"ingen[\wåöä ]+försäkring.*? på (?:ägaren )?([A-ZÅÖÄ][^\W\d_ ]+?)(?= och|,| angivet| \d)"
81,ownerName,"(?:Djurägare):\s+([A-ZÅÖÄ][^\W\d_, -]+)"
